дата,время,длина сообщения,есть ли картинка,количество реакций
2024-12-23,01:20:25,0,False,0
2024-12-24,13:37:51,1423,True,5
2025-01-24,14:58:05,847,True,5
2025-02-04,11:24:44,1560,True,5
2025-02-05,09:59:58,855,False,2
2025-02-06,12:59:58,1311,True,5
2025-02-09,15:03:29,329,True,6
2025-02-15,09:59:58,532,True,2
2025-02-16,21:05:34,145,True,9
2025-03-18,22:40:15,596,True,15
2025-03-26,10:59:58,1682,True,18
2025-03-26,11:57:46,281,True,15
2025-03-26,12:02:57,815,True,20
2025-03-26,18:06:07,610,True,15
2025-03-27,12:01:28,962,True,20
2025-03-27,18:08:10,0,True,15
2025-03-27,18:08:10,1277,True,0
2025-03-28,12:06:23,645,True,16
2025-03-28,12:06:23,0,True,0
2025-03-28,18:01:33,747,True,16
2025-03-29,12:02:19,901,True,11
2025-03-29,18:10:58,1083,True,7
2025-03-30,12:00:15,1269,True,11
2025-03-30,12:00:15,0,True,0
2025-03-30,13:00:34,784,True,19
2025-03-30,18:01:13,455,True,8
2025-03-31,12:07:48,1286,True,18
2025-03-31,12:07:48,0,True,0
2025-03-31,18:05:26,1288,True,14
2025-04-01,12:00:39,1054,True,19
2025-04-01,12:00:39,0,True,0
2025-04-01,18:06:54,784,True,20
2025-04-01,18:06:54,0,True,0
2025-04-02,10:05:58,669,True,11
2025-04-02,12:00:23,716,True,15
2025-04-02,12:00:23,0,True,0
2025-04-02,18:07:18,804,True,12
2025-04-03,12:00:09,926,True,19
2025-04-03,15:51:59,1201,True,10
2025-04-03,18:09:06,790,True,8
2025-04-04,12:02:23,690,True,21
2025-04-04,12:02:24,0,True,0
2025-04-04,18:04:41,708,True,38
2025-04-05,12:00:40,1234,True,13
2025-04-05,18:00:27,1065,True,9
2025-04-05,18:00:27,0,True,0
2025-04-06,12:00:14,962,True,9
2025-04-06,18:06:11,758,True,12
2025-04-07,12:00:22,930,True,14
2025-04-07,14:59:01,190,True,13
2025-04-07,14:59:04,0,False,12
2025-04-07,16:36:07,935,True,8
2025-04-07,18:04:16,1113,True,13
2025-04-07,18:04:16,0,True,0
2025-04-08,12:06:51,456,True,19
2025-04-08,18:05:24,1482,True,14
2025-04-09,10:09:35,658,True,10
2025-04-09,12:00:17,811,True,15
2025-04-09,12:00:17,0,True,0
2025-04-09,13:41:16,2650,True,9
2025-04-09,18:04:35,1132,True,10
2025-04-11,12:04:38,1221,True,9
2025-04-12,08:34:38,654,True,16
2025-04-12,12:53:44,925,True,16
2025-04-12,18:58:30,106,True,50
2025-04-13,12:02:01,3331,True,10
2025-04-13,18:00:09,3965,True,212
2025-04-13,18:00:09,0,True,0
2025-04-14,09:05:22,581,True,8
2025-04-14,16:11:20,154,False,12
2025-04-15,09:02:02,765,True,6
2025-04-15,13:25:40,601,True,7
2025-04-15,15:59:19,90,False,3
2025-04-16,09:07:46,725,True,12
2025-04-16,09:07:47,0,True,0
2025-04-16,10:32:27,679,True,16
2025-04-17,09:05:08,1069,True,5
2025-04-17,12:39:35,683,True,9
2025-04-17,15:50:15,117,False,3
2025-04-18,09:05:29,726,True,106
2025-04-18,20:30:06,192,True,9
2025-04-19,09:05:17,638,True,12
2025-04-19,15:08:39,63,False,8
2025-04-20,18:00:01,2787,True,33
2025-05-03,09:00:52,1022,True,17
2025-05-05,09:35:58,337,True,33
2025-05-05,09:35:58,0,True,0
2025-05-05,09:35:58,0,True,0
2025-05-05,09:35:58,0,True,0
2025-05-05,09:35:58,0,True,0
2025-05-05,09:35:58,0,True,0
2025-05-05,09:35:58,0,True,0
2025-05-05,09:35:58,0,True,0
2025-05-05,09:35:58,0,True,0
2025-06-08,08:58:35,851,True,6
2025-07-17,11:08:24,233,False,0
2025-07-17,11:08:25,1490,True,9
2025-09-24,17:17:30,1148,True,14
2025-09-28,07:59:58,322,True,5
2025-10-15,10:00:21,1084,True,9
